column15,column16,column17
H0AK00097,ANCHOR POINT,AK
H0AL02087,MONTGOMERY,AL
H0AL02095,MILLBROOK,AL
H0AL05049,HUNTSVILLE,AL
H0AL05163,HUNTSVILLE,AL
H0AL06088,KIMBERLY,AL
H0AL07086,BIRMINGHAM,AL
H0AL07094,BIRMINGHAM,AL
H0AL07177,SELMA,AL
H0AR01083,JONESBORO,AR
H0AR01091,BLYTHEVILLE,AR
H0AR01109,JONESBORO,AR
H0AR01125,WYNNE,AR
H0AR02107,LITTLE ROCK,AR
H0AR02131,LITTLE ROCK,AR
H0AR03022,ELKINS,AR
H0AR03030,FAYETTEVILLE,AR
H0AR03055,ROGERS,AR
H0AS00018,WASHINGTON,DC
H0AZ01184,MESA,AZ
H0AZ01259,PRESCOTT,AZ
H0AZ01283,SHOW LOW,AZ
H0AZ01325,FLAGSTAFF,AZ
H0AZ01333,GILBERT,AZ
H0AZ03321,PHOENIX,AZ
H0AZ03362,PHOENIX,AZ
H0AZ03404,PHOENIX,AZ
H0AZ03412,PHOENIX,AZ
H0AZ04485,PHOENIX,AZ
H0AZ04493,PHOENIX,AZ
H0AZ04501,PHOENIX,AZ
H0AZ05078,SCOTTSDALE,AZ
H0AZ05102,SCOTTSDALE,AZ
H0AZ05128,TEMPE,AZ
H0AZ06043,GILBERT,AZ
H0AZ07017,TUCSON,AZ
H0AZ08015,TUCSON,AZ
H0CA00082,LOS ANGELES,CA
H0CA00108,RANCHO MIRAGE,CA
H0CA03078,ELK GROVE,CA
H0CA03110,CARMICHAEL,CA
H0CA05073,SACRAMENTO,
H0CA06139,SAN DIEGO,CA
H0CA08069,SAN FRANCISCO,CA
H0CA10073,CONCORD,CA
H0CA10115,FAIRFIELD,CA
H0CA10131,DANVILLE,CA
H0CA10149,WASHINGTON,DC
H0CA10164,PLEASANT HILL,CA
H0CA10172,WALNUT CREEK,CA
H0CA11303,ACAMPO,CA
H0CA11337,LODI,CA
H0CA11352,ELK GROVE,CA
H0CA12103,FOSTER CITY,CA
